tipo_cliente,metodo_pago,dispositivo,estado_red,region_fiscal,envio
Nuevo,Tarjeta,Movil,Lenta,APAC,Express
Nuevo,Tarjeta,Movil,Lenta,APAC,Pickup
Nuevo,Tarjeta,Movil,Intermitente,LATAM,Economico
Nuevo,Tarjeta,Movil,Intermitente,LATAM,Estandar
Nuevo,Tarjeta,Movil,Intermitente,LATAM,Express
Nuevo,Tarjeta,Movil,Intermitente,LATAM,Pickup
Nuevo,Tarjeta,Movil,Intermitente,EU,Economico
Nuevo,Tarjeta,Movil,Intermitente,EU,Estandar
Nuevo,Tarjeta,Movil,Intermitente,EU,Express
Nuevo,Tarjeta,Movil,Intermitente,EU,Pickup
Nuevo,Tarjeta,Movil,Intermitente,US,Economico
Nuevo,Tarjeta,Movil,Intermitente,US,Estandar
Nuevo,Tarjeta,Movil,Intermitente,US,Express
Nuevo,Tarjeta,Movil,Intermitente,US,Pickup
Nuevo,Tarjeta,Movil,Intermitente,APAC,Economico
Nuevo,Tarjeta,Movil,Intermitente,APAC,Estandar
Nuevo,Tarjeta,Movil,Intermitente,APAC,Express
Nuevo,Tarjeta,Movil,Intermitente,APAC,Pickup
Nuevo,Tarjeta,Movil,SinConexion,LATAM,Economico
Nuevo,Tarjeta,Movil,SinConexion,LATAM,Estandar
Nuevo,Tarjeta,Movil,SinConexion,LATAM,Express
Nuevo,Tarjeta,Movil,SinConexion,LATAM,Pickup
Nuevo,Tarjeta,Movil,SinConexion,EU,Economico
Nuevo,Tarjeta,Movil,SinConexion,EU,Estandar
Nuevo,Tarjeta,Movil,SinConexion,EU,Express
Nuevo,Tarjeta,Movil,SinConexion,EU,Pickup
Nuevo,Tarjeta,Movil,SinConexion,US,Economico
Nuevo,Tarjeta,Movil,SinConexion,US,Estandar
Nuevo,Tarjeta,Movil,SinConexion,US,Express
Nuevo,Tarjeta,Movil,SinConexion,US,Pickup
Nuevo,Tarjeta,Movil,SinConexion,APAC,Economico
Nuevo,Tarjeta,Movil,SinConexion,APAC,Estandar
Nuevo,Tarjeta,Movil,SinConexion,APAC,Express
Nuevo,Tarjeta,Movil,SinConexion,APAC,Pickup
Nuevo,Tarjeta,Desktop,Buena,LATAM,Economico
Nuevo,Tarjeta,Desktop,Buena,LATAM,Estandar
Nuevo,Tarjeta,Desktop,Buena,LATAM,Express
Nuevo,Tarjeta,Desktop,Buena,LATAM,Pickup
Nuevo,Tarjeta,Desktop,Buena,EU,Economico
Nuevo,Tarjeta,Desktop,Buena,EU,Estandar
Nuevo,Tarjeta,Desktop,Buena,EU,Express
Nuevo,Tarjeta,Desktop,Buena,EU,Pickup
Nuevo,Tarjeta,Desktop,Buena,US,Economico
Nuevo,Tarjeta,Desktop,Buena,US,Estandar
Nuevo,Tarjeta,Desktop,Buena,US,Express
Nuevo,Tarjeta,Desktop,Buena,US,Pickup
Nuevo,Tarjeta,Desktop,Buena,APAC,Economico
Nuevo,Tarjeta,Desktop,Buena,APAC,Estandar
Nuevo,Tarjeta,Desktop,Buena,APAC,Express
Nuevo,Tarjeta,Desktop,Buena,APAC,Pickup
Nuevo,Tarjeta,Desktop,Media,LATAM,Economico
Nuevo,Tarjeta,Desktop,Media,LATAM,Estandar
Nuevo,Tarjeta,Desktop,Media,LATAM,Express
Nuevo,Tarjeta,Desktop,Media,LATAM,Pickup
Nuevo,Tarjeta,Desktop,Media,EU,Economico
Nuevo,Tarjeta,Desktop,Media,EU,Estandar
Nuevo,Tarjeta,Desktop,Media,EU,Express
Nuevo,Tarjeta,Desktop,Media,EU,Pickup
Nuevo,Tarjeta,Desktop,Media,US,Economico
Nuevo,Tarjeta,Desktop,Media,US,Estandar
Nuevo,Tarjeta,Desktop,Media,US,Express
Nuevo,Tarjeta,Desktop,Media,US,Pickup
Nuevo,Tarjeta,Desktop,Media,APAC,Economico
Nuevo,Tarjeta,Desktop,Media,APAC,Estandar
Nuevo,Tarjeta,Desktop,Media,APAC,Express
Nuevo,Tarjeta,Desktop,Media,APAC,Pickup
Nuevo,Tarjeta,Desktop,Lenta,LATAM,Economico
Nuevo,Tarjeta,Desktop,Lenta,LATAM,Estandar
Nuevo,Tarjeta,Desktop,Lenta,LATAM,Express
Nuevo,Tarjeta,Desktop,Lenta,LATAM,Pickup
Nuevo,Tarjeta,Desktop,Lenta,EU,Economico
Nuevo,Tarjeta,Desktop,Lenta,EU,Estandar
Nuevo,Tarjeta,Desktop,Lenta,EU,Express
Nuevo,Tarjeta,Desktop,Lenta,EU,Pickup
Nuevo,Tarjeta,Desktop,Lenta,US,Economico
Nuevo,Tarjeta,Desktop,Lenta,US,Estandar
Nuevo,Tarjeta,Desktop,Lenta,US,Express
Nuevo,Tarjeta,Desktop,Lenta,US,Pickup
Nuevo,Tarjeta,Desktop,Lenta,APAC,Economico
Nuevo,Tarjeta,Desktop,Lenta,APAC,Estandar
Nuevo,Tarjeta,Desktop,Lenta,APAC,Express
Nuevo,Tarjeta,Desktop,Lenta,APAC,Pickup
Nuevo,Tarjeta,Desktop,Intermitente,LATAM,Economico
Nuevo,Tarjeta,Desktop,Intermitente,LATAM,Estandar
Nuevo,Tarjeta,Desktop,Intermitente,LATAM,Express
Nuevo,Tarjeta,Desktop,Intermitente,LATAM,Pickup
Nuevo,Tarjeta,Desktop,Intermitente,EU,Economico
Nuevo,Tarjeta,Desktop,Intermitente,EU,Estandar
Nuevo,Tarjeta,Desktop,Intermitente,EU,Express
Nuevo,Tarjeta,Desktop,Intermitente,EU,Pickup
Nuevo,Tarjeta,Desktop,Intermitente,US,Economico
Nuevo,Tarjeta,Desktop,Intermitente,US,Estandar
Nuevo,Tarjeta,Desktop,Intermitente,US,Express
Nuevo,Tarjeta,Desktop,Intermitente,US,Pickup
Nuevo,Tarjeta,Desktop,Intermitente,APAC,Economico
Nuevo,Tarjeta,Desktop,Intermitente,APAC,Estandar
Nuevo,Tarjeta,Desktop,Intermitente,APAC,Express
Nuevo,Tarjeta,Desktop,Intermitente,APAC,Pickup
Nuevo,Tarjeta,Desktop,SinConexion,LATAM,Economico
Nuevo,Tarjeta,Desktop,SinConexion,LATAM,Estandar
Nuevo,Tarjeta,Desktop,SinConexion,LATAM,Express
Nuevo,Tarjeta,Desktop,SinConexion,LATAM,Pickup
Nuevo,Tarjeta,Desktop,SinConexion,EU,Economico
Nuevo,Tarjeta,Desktop,SinConexion,EU,Estandar
Nuevo,Tarjeta,Desktop,SinConexion,EU,Express
Nuevo,Tarjeta,Desktop,SinConexion,EU,Pickup
Nuevo,Tarjeta,Desktop,SinConexion,US,Economico
Nuevo,Tarjeta,Desktop,SinConexion,US,Estandar
Nuevo,Tarjeta,Desktop,SinConexion,US,Express
Nuevo,Tarjeta,Desktop,SinConexion,US,Pickup
Nuevo,Tarjeta,Desktop,SinConexion,APAC,Economico
Nuevo,Tarjeta,Desktop,SinConexion,APAC,Estandar
Nuevo,Tarjeta,Desktop,SinConexion,APAC,Express
Nuevo,Tarjeta,Desktop,SinConexion,APAC,Pickup
Nuevo,Tarjeta,Tableta,Buena,LATAM,Economico
Nuevo,Tarjeta,Tableta,Buena,LATAM,Estandar
Nuevo,Tarjeta,Tableta,Buena,LATAM,Express
Nuevo,Tarjeta,Tableta,Buena,LATAM,Pickup
Nuevo,Tarjeta,Tableta,Buena,EU,Economico
Nuevo,Tarjeta,Tableta,Buena,EU,Estandar
Nuevo,Tarjeta,Tableta,Buena,EU,Express
Nuevo,Tarjeta,Tableta,Buena,EU,Pickup
Nuevo,Tarjeta,Tableta,Buena,US,Economico
Nuevo,Tarjeta,Tableta,Buena,US,Estandar
Nuevo,Tarjeta,Tableta,Buena,US,Express
Nuevo,Tarjeta,Tableta,Buena,US,Pickup
Nuevo,Tarjeta,Tableta,Buena,APAC,Economico
Nuevo,Tarjeta,Tableta,Buena,APAC,Estandar
Nuevo,Tarjeta,Tableta,Buena,APAC,Express
Nuevo,Tarjeta,Tableta,Buena,APAC,Pickup
Nuevo,Tarjeta,Tableta,Media,LATAM,Economico
Nuevo,Tarjeta,Tableta,Media,LATAM,Estandar
Nuevo,Tarjeta,Tableta,Media,LATAM,Express
Nuevo,Tarjeta,Tableta,Media,LATAM,Pickup
Nuevo,Tarjeta,Tableta,Media,EU,Economico
Nuevo,Tarjeta,Tableta,Media,EU,Estandar
Nuevo,Tarjeta,Tableta,Media,EU,Express
Nuevo,Tarjeta,Tableta,Media,EU,Pickup
Nuevo,Tarjeta,Tableta,Media,US,Economico
Nuevo,Tarjeta,Tableta,Media,US,Estandar
Nuevo,Tarjeta,Tableta,Media,US,Express
Nuevo,Tarjeta,Tableta,Media,US,Pickup
Nuevo,Tarjeta,Tableta,Media,APAC,Economico
Nuevo,Tarjeta,Tableta,Media,APAC,Estandar
Nuevo,Tarjeta,Tableta,Media,APAC,Express
Nuevo,Tarjeta,Tableta,Media,APAC,Pickup
Nuevo,Tarjeta,Tableta,Lenta,LATAM,Economico
Nuevo,Tarjeta,Tableta,Lenta,LATAM,Estandar
Nuevo,Tarjeta,Tableta,Lenta,LATAM,Express
Nuevo,Tarjeta,Tableta,Lenta,LATAM,Pickup
Nuevo,Tarjeta,Tableta,Lenta,EU,Economico
Nuevo,Tarjeta,Tableta,Lenta,EU,Estandar
Nuevo,Tarjeta,Tableta,Lenta,EU,Express
Nuevo,Tarjeta,Tableta,Lenta,EU,Pickup
Nuevo,Tarjeta,Tableta,Lenta,US,Economico
Nuevo,Tarjeta,Tableta,Lenta,US,Estandar
Nuevo,Tarjeta,Tableta,Lenta,US,Express
Nuevo,Tarjeta,Tableta,Lenta,US,Pickup
Nuevo,Tarjeta,Tableta,Lenta,APAC,Economico
Nuevo,Tarjeta,Tableta,Lenta,APAC,Estandar
Nuevo,Tarjeta,Tableta,Lenta,APAC,Express
Nuevo,Tarjeta,Tableta,Lenta,APAC,Pickup
Nuevo,Tarjeta,Tableta,Intermitente,LATAM,Economico
Nuevo,Tarjeta,Tableta,Intermitente,LATAM,Estandar
Nuevo,Tarjeta,Tableta,Intermitente,LATAM,Express
Nuevo,Tarjeta,Tableta,Intermitente,LATAM,Pickup
Nuevo,Tarjeta,Tableta,Intermitente,EU,Economico
Nuevo,Tarjeta,Tableta,Intermitente,EU,Estandar
Nuevo,Tarjeta,Tableta,Intermitente,EU,Express
Nuevo,Tarjeta,Tableta,Intermitente,EU,Pickup
Nuevo,Tarjeta,Tableta,Intermitente,US,Economico
Nuevo,Tarjeta,Tableta,Intermitente,US,Estandar
Nuevo,Tarjeta,Tableta,Intermitente,US,Express
Nuevo,Tarjeta,Tableta,Intermitente,US,Pickup
Nuevo,Tarjeta,Tableta,Intermitente,APAC,Economico
Nuevo,Tarjeta,Tableta,Intermitente,APAC,Estandar
Nuevo,Tarjeta,Tableta,Intermitente,APAC,Express
Nuevo,Tarjeta,Tableta,Intermitente,APAC,Pickup
Nuevo,Tarjeta,Tableta,SinConexion,LATAM,Economico
Nuevo,Tarjeta,Tableta,SinConexion,LATAM,Estandar
Nuevo,Tarjeta,Tableta,SinConexion,LATAM,Express
Nuevo,Tarjeta,Tableta,SinConexion,LATAM,Pickup
Nuevo,Tarjeta,Tableta,SinConexion,EU,Economico
Nuevo,Tarjeta,Tableta,SinConexion,EU,Estandar
Nuevo,Tarjeta,Tableta,SinConexion,EU,Express
Nuevo,Tarjeta,Tableta,SinConexion,EU,Pickup
Nuevo,Tarjeta,Tableta,SinConexion,US,Economico
Nuevo,Tarjeta,Tableta,SinConexion,US,Estandar
Nuevo,Tarjeta,Tableta,SinConexion,US,Express
Nuevo,Tarjeta,Tableta,SinConexion,US,Pickup
Nuevo,Tarjeta,Tableta,SinConexion,APAC,Economico
Nuevo,Tarjeta,Tableta,SinConexion,APAC,Estandar
Nuevo,Tarjeta,Tableta,SinConexion,APAC,Express
Nuevo,Tarjeta,Tableta,SinConexion,APAC,Pickup
Nuevo,Tarjeta,SmartTV,Buena,LATAM,Economico
Nuevo,Tarjeta,SmartTV,Buena,LATAM,Estandar
Nuevo,Tarjeta,SmartTV,Buena,LATAM,Express
Nuevo,Tarjeta,SmartTV,Buena,LATAM,Pickup
Nuevo,Tarjeta,SmartTV,Buena,EU,Economico
Nuevo,Tarjeta,SmartTV,Buena,EU,Estandar
Nuevo,Tarjeta,SmartTV,Buena,EU,Express
Nuevo,Tarjeta,SmartTV,Buena,EU,Pickup
Nuevo,Tarjeta,SmartTV,Buena,US,Economico
Nuevo,Tarjeta,SmartTV,Buena,US,Estandar
Nuevo,Tarjeta,SmartTV,Buena,US,Express
Nuevo,Tarjeta,SmartTV,Buena,US,Pickup
Nuevo,Tarjeta,SmartTV,Buena,APAC,Economico
Nuevo,Tarjeta,SmartTV,Buena,APAC,Estandar
Nuevo,Tarjeta,SmartTV,Buena,APAC,Express
Nuevo,Tarjeta,SmartTV,Buena,APAC,Pickup
Nuevo,Tarjeta,SmartTV,Media,LATAM,Economico
Nuevo,Tarjeta,SmartTV,Media,LATAM,Estandar
Nuevo,Tarjeta,SmartTV,Media,LATAM,Express
Nuevo,Tarjeta,SmartTV,Media,LATAM,Pickup
Nuevo,Tarjeta,SmartTV,Media,EU,Economico
Nuevo,Tarjeta,SmartTV,Media,EU,Estandar
Nuevo,Tarjeta,SmartTV,Media,EU,Express
Nuevo,Tarjeta,SmartTV,Media,EU,Pickup
Nuevo,Tarjeta,SmartTV,Media,US,Economico
Nuevo,Tarjeta,SmartTV,Media,US,Estandar
Nuevo,Tarjeta,SmartTV,Media,US,Express
Nuevo,Tarjeta,SmartTV,Media,US,Pickup
Nuevo,Tarjeta,SmartTV,Media,APAC,Economico
Nuevo,Tarjeta,SmartTV,Media,APAC,Estandar
Nuevo,Tarjeta,SmartTV,Media,APAC,Express
Nuevo,Tarjeta,SmartTV,Media,APAC,Pickup
Nuevo,Tarjeta,SmartTV,Lenta,LATAM,Economico
Nuevo,Tarjeta,SmartTV,Lenta,LATAM,Estandar
Nuevo,Tarjeta,SmartTV,Lenta,LATAM,Express
Nuevo,Tarjeta,SmartTV,Lenta,LATAM,Pickup
Nuevo,Tarjeta,SmartTV,Lenta,EU,Economico
Nuevo,Tarjeta,SmartTV,Lenta,EU,Estandar
Nuevo,Tarjeta,SmartTV,Lenta,EU,Express
Nuevo,Tarjeta,SmartTV,Lenta,EU,Pickup
Nuevo,Tarjeta,SmartTV,Lenta,US,Economico
Nuevo,Tarjeta,SmartTV,Lenta,US,Estandar
Nuevo,Tarjeta,SmartTV,Lenta,US,Express
Nuevo,Tarjeta,SmartTV,Lenta,US,Pickup
Nuevo,Tarjeta,SmartTV,Lenta,APAC,Economico
Nuevo,Tarjeta,SmartTV,Lenta,APAC,Estandar
Nuevo,Tarjeta,SmartTV,Lenta,APAC,Express
Nuevo,Tarjeta,SmartTV,Lenta,APAC,Pickup
Nuevo,Tarjeta,SmartTV,Intermitente,LATAM,Economico
Nuevo,Tarjeta,SmartTV,Intermitente,LATAM,Estandar
Nuevo,Tarjeta,SmartTV,Intermitente,LATAM,Express
Nuevo,Tarjeta,SmartTV,Intermitente,LATAM,Pickup
Nuevo,Tarjeta,SmartTV,Intermitente,EU,Economico
Nuevo,Tarjeta,SmartTV,Intermitente,EU,Estandar
Nuevo,Tarjeta,SmartTV,Intermitente,EU,Express
Nuevo,Tarjeta,SmartTV,Intermitente,EU,Pickup
Nuevo,Tarjeta,SmartTV,Intermitente,US,Economico
Nuevo,Tarjeta,SmartTV,Intermitente,US,Estandar
Nuevo,Tarjeta,SmartTV,Intermitente,US,Express
Nuevo,Tarjeta,SmartTV,Intermitente,US,Pickup
Nuevo,Tarjeta,SmartTV,Intermitente,APAC,Economico
Nuevo,Tarjeta,SmartTV,Intermitente,APAC,Estandar
Nuevo,Tarjeta,SmartTV,Intermitente,APAC,Express
Nuevo,Tarjeta,SmartTV,Intermitente,APAC,Pickup
Nuevo,Tarjeta,SmartTV,SinConexion,LATAM,Economico
Nuevo,Tarjeta,SmartTV,SinConexion,LATAM,Estandar
Nuevo,Tarjeta,SmartTV,SinConexion,LATAM,Express
Nuevo,Tarjeta,SmartTV,SinConexion,LATAM,Pickup
Nuevo,Tarjeta,SmartTV,SinConexion,EU,Economico
Nuevo,Tarjeta,SmartTV,SinConexion,EU,Estandar
Nuevo,Tarjeta,SmartTV,SinConexion,EU,Express
Nuevo,Tarjeta,SmartTV,SinConexion,EU,Pickup
Nuevo,Tarjeta,SmartTV,SinConexion,US,Economico
Nuevo,Tarjeta,SmartTV,SinConexion,US,Estandar
Nuevo,Tarjeta,SmartTV,SinConexion,US,Express
Nuevo,Tarjeta,SmartTV,SinConexion,US,Pickup
Nuevo,Tarjeta,SmartTV,SinConexion,APAC,Economico
Nuevo,Tarjeta,SmartTV,SinConexion,APAC,Estandar
Nuevo,Tarjeta,SmartTV,SinConexion,APAC,Express
Nuevo,Tarjeta,SmartTV,SinConexion,APAC,Pickup
Nuevo,Tarjeta,Consola,Buena,LATAM,Economico
Nuevo,Tarjeta,Consola,Buena,LATAM,Estandar
Nuevo,Tarjeta,Consola,Buena,LATAM,Express
Nuevo,Tarjeta,Consola,Buena,LATAM,Pickup
Nuevo,Tarjeta,Consola,Buena,EU,Economico
Nuevo,Tarjeta,Consola,Buena,EU,Estandar
Nuevo,Tarjeta,Consola,Buena,EU,Express
Nuevo,Tarjeta,Consola,Buena,EU,Pickup
Nuevo,Tarjeta,Consola,Buena,US,Economico
Nuevo,Tarjeta,Consola,Buena,US,Estandar
Nuevo,Tarjeta,Consola,Buena,US,Express
Nuevo,Tarjeta,Consola,Buena,US,Pickup
Nuevo,Tarjeta,Consola,Buena,APAC,Economico
Nuevo,Tarjeta,Consola,Buena,APAC,Estandar
Nuevo,Tarjeta,Consola,Buena,APAC,Express
Nuevo,Tarjeta,Consola,Buena,APAC,Pickup
Nuevo,Tarjeta,Consola,Media,LATAM,Economico
Nuevo,Tarjeta,Consola,Media,LATAM,Estandar
Nuevo,Tarjeta,Consola,Media,LATAM,Express
Nuevo,Tarjeta,Consola,Media,LATAM,Pickup
Nuevo,Tarjeta,Consola,Media,EU,Economico
Nuevo,Tarjeta,Consola,Media,EU,Estandar
Nuevo,Tarjeta,Consola,Media,EU,Express
Nuevo,Tarjeta,Consola,Media,EU,Pickup
Nuevo,Tarjeta,Consola,Media,US,Economico
Nuevo,Tarjeta,Consola,Media,US,Estandar
Nuevo,Tarjeta,Consola,Media,US,Express
Nuevo,Tarjeta,Consola,Media,US,Pickup
Nuevo,Tarjeta,Consola,Media,APAC,Economico
Nuevo,Tarjeta,Consola,Media,APAC,Estandar
Nuevo,Tarjeta,Consola,Media,APAC,Express
Nuevo,Tarjeta,Consola,Media,APAC,Pickup
Nuevo,Tarjeta,Consola,Lenta,LATAM,Economico
Nuevo,Tarjeta,Consola,Lenta,LATAM,Estandar
Nuevo,Tarjeta,Consola,Lenta,LATAM,Express
Nuevo,Tarjeta,Consola,Lenta,LATAM,Pickup
Nuevo,Tarjeta,Consola,Lenta,EU,Economico
Nuevo,Tarjeta,Consola,Lenta,EU,Estandar
Nuevo,Tarjeta,Consola,Lenta,EU,Express
Nuevo,Tarjeta,Consola,Lenta,EU,Pickup
Nuevo,Tarjeta,Consola,Lenta,US,Economico
Nuevo,Tarjeta,Consola,Lenta,US,Estandar
Nuevo,Tarjeta,Consola,Lenta,US,Express
Nuevo,Tarjeta,Consola,Lenta,US,Pickup
Nuevo,Tarjeta,Consola,Lenta,APAC,Economico
Nuevo,Tarjeta,Consola,Lenta,APAC,Estandar
Nuevo,Tarjeta,Consola,Lenta,APAC,Express
Nuevo,Tarjeta,Consola,Lenta,APAC,Pickup
Nuevo,Tarjeta,Consola,Intermitente,LATAM,Economico
Nuevo,Tarjeta,Consola,Intermitente,LATAM,Estandar
Nuevo,Tarjeta,Consola,Intermitente,LATAM,Express
Nuevo,Tarjeta,Consola,Intermitente,LATAM,Pickup
Nuevo,Tarjeta,Consola,Intermitente,EU,Economico
Nuevo,Tarjeta,Consola,Intermitente,EU,Estandar
Nuevo,Tarjeta,Consola,Intermitente,EU,Express
Nuevo,Tarjeta,Consola,Intermitente,EU,Pickup
Nuevo,Tarjeta,Consola,Intermitente,US,Economico
Nuevo,Tarjeta,Consola,Intermitente,US,Estandar
Nuevo,Tarjeta,Consola,Intermitente,US,Express
Nuevo,Tarjeta,Consola,Intermitente,US,Pickup
Nuevo,Tarjeta,Consola,Intermitente,APAC,Economico
Nuevo,Tarjeta,Consola,Intermitente,APAC,Estandar
Nuevo,Tarjeta,Consola,Intermitente,APAC,Express
Nuevo,Tarjeta,Consola,Intermitente,APAC,Pickup
Nuevo,Tarjeta,Consola,SinConexion,LATAM,Economico
Nuevo,Tarjeta,Consola,SinConexion,LATAM,Estandar
Nuevo,Tarjeta,Consola,SinConexion,LATAM,Express
Nuevo,Tarjeta,Consola,SinConexion,LATAM,Pickup
Nuevo,Tarjeta,Consola,SinConexion,EU,Economico
Nuevo,Tarjeta,Consola,SinConexion,EU,Estandar
Nuevo,Tarjeta,Consola,SinConexion,EU,Express
Nuevo,Tarjeta,Consola,SinConexion,EU,Pickup
Nuevo,Tarjeta,Consola,SinConexion,US,Economico
Nuevo,Tarjeta,Consola,SinConexion,US,Estandar
Nuevo,Tarjeta,Consola,SinConexion,US,Express
Nuevo,Tarjeta,Consola,SinConexion,US,Pickup
Nuevo,Tarjeta,Consola,SinConexion,APAC,Economico
Nuevo,Tarjeta,Consola,SinConexion,APAC,Estandar
Nuevo,Tarjeta,Consola,SinConexion,APAC,Express
Nuevo,Tarjeta,Consola,SinConexion,APAC,Pickup
Nuevo,PayPal,Movil,Buena,LATAM,Economico
Nuevo,PayPal,Movil,Buena,LATAM,Estandar
Nuevo,PayPal,Movil,Buena,LATAM,Express
Nuevo,PayPal,Movil,Buena,LATAM,Pickup
Nuevo,PayPal,Movil,Buena,EU,Economico
Nuevo,PayPal,Movil,Buena,EU,Estandar
Nuevo,PayPal,Movil,Buena,EU,Express
Nuevo,PayPal,Movil,Buena,EU,Pickup
Nuevo,PayPal,Movil,Buena,US,Economico
Nuevo,PayPal,Movil,Buena,US,Estandar
Nuevo,PayPal,Movil,Buena,US,Express
Nuevo,PayPal,Movil,Buena,US,Pickup
Nuevo,PayPal,Movil,Buena,APAC,Economico
Nuevo,PayPal,Movil,Buena,APAC,Estandar
Nuevo,PayPal,Movil,Buena,APAC,Express
Nuevo,PayPal,Movil,Buena,APAC,Pickup
Nuevo,PayPal,Movil,Media,LATAM,Economico
Nuevo,PayPal,Movil,Media,LATAM,Estandar
Nuevo,PayPal,Movil,Media,LATAM,Express
Nuevo,PayPal,Movil,Media,LATAM,Pickup
Nuevo,PayPal,Movil,Media,EU,Economico
Nuevo,PayPal,Movil,Media,EU,Estandar
Nuevo,PayPal,Movil,Media,EU,Express
Nuevo,PayPal,Movil,Media,EU,Pickup
Nuevo,PayPal,Movil,Media,US,Economico
Nuevo,PayPal,Movil,Media,US,Estandar
Nuevo,PayPal,Movil,Media,US,Express
Nuevo,PayPal,Movil,Media,US,Pickup
Nuevo,PayPal,Movil,Media,APAC,Economico
Nuevo,PayPal,Movil,Media,APAC,Estandar
Nuevo,PayPal,Movil,Media,APAC,Express
Nuevo,PayPal,Movil,Media,APAC,Pickup
Nuevo,PayPal,Movil,Lenta,LATAM,Economico
Nuevo,PayPal,Movil,Lenta,LATAM,Estandar
Nuevo,PayPal,Movil,Lenta,LATAM,Express
Nuevo,PayPal,Movil,Lenta,LATAM,Pickup
Nuevo,PayPal,Movil,Lenta,EU,Economico
Nuevo,PayPal,Movil,Lenta,EU,Estandar
Nuevo,PayPal,Movil,Lenta,EU,Express
Nuevo,PayPal,Movil,Lenta,EU,Pickup
Nuevo,PayPal,Movil,Lenta,US,Economico
Nuevo,PayPal,Movil,Lenta,US,Estandar
Nuevo,PayPal,Movil,Lenta,US,Express
Nuevo,PayPal,Movil,Lenta,US,Pickup
Nuevo,PayPal,Movil,Lenta,APAC,Economico
Nuevo,PayPal,Movil,Lenta,APAC,Estandar
Nuevo,PayPal,Movil,Lenta,APAC,Express
Nuevo,PayPal,Movil,Lenta,APAC,Pickup
Nuevo,PayPal,Movil,Intermitente,LATAM,Economico
Nuevo,PayPal,Movil,Intermitente,LATAM,Estandar
Nuevo,PayPal,Movil,Intermitente,LATAM,Express
Nuevo,PayPal,Movil,Intermitente,LATAM,Pickup
Nuevo,PayPal,Movil,Intermitente,EU,Economico
Nuevo,PayPal,Movil,Intermitente,EU,Estandar
Nuevo,PayPal,Movil,Intermitente,EU,Express
Nuevo,PayPal,Movil,Intermitente,EU,Pickup
Nuevo,PayPal,Movil,Intermitente,US,Economico
Nuevo,PayPal,Movil,Intermitente,US,Estandar
Nuevo,PayPal,Movil,Intermitente,US,Express
Nuevo,PayPal,Movil,Intermitente,US,Pickup
Nuevo,PayPal,Movil,Intermitente,APAC,Economico
Nuevo,PayPal,Movil,Intermitente,APAC,Estandar
Nuevo,PayPal,Movil,Intermitente,APAC,Express
Nuevo,PayPal,Movil,Intermitente,APAC,Pickup
Nuevo,PayPal,Movil,SinConexion,LATAM,Economico
